"species","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","AUC","AUCratio","pROC","pval_pROC","TSS","algoritmo","run","partition","presencenb","absencenb","correlation","pvaluecor","threshold","prevalence.value","PPP","NPP","sensitivity.value","specificity.value","comission","omission","accuracy","KAPPA.value"
"Acianthera_sonderiana_C_010",0.00487512,0.00487512,0.00497512,0.00507512,0.00487512,0.00507512,0.5,1,NA,NA,0,"glm",4,1,2,200,NA,NA,"spec_sens",0.0099009900990099,NA,0.99009900990099,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_010",0.74799045,0.74799045,0.32404949,0.22743881,0.5017059,0.3250178,0.4775,0.955,1.51983122787872,0,0.36,"maxent",4,1,2,200,0.00214215389052692,0.975862232563709,"spec_sens",0.0099009900990099,0.0344827586206897,0.994219653179191,0.78125,0.632352941176471,0.367647058823529,0.21875,0.68,0.0468597461763744
"Acianthera_sonderiana_C_010",0.5762,0.5762,0.35893333,0.28553333,0.50123333,0.36226667,0.4,0.8,1.30585674567581,0,0.23,"rf",4,1,2,200,-0.0399011684967974,0.572885195820632,"spec_sens",0.0099009900990099,0.0181818181818182,0.993197278911565,0.649350649350649,0.59349593495935,0.40650406504065,0.350649350649351,0.615,0.0162918363732954
"Acianthera_sonderiana_C_010",0.00346411,0.00346411,0.00347615,0.00794068,0.00350078,0.00350078,0.705,1.41,1.43514743288965,0,0.635,"svmk",4,1,2,200,0.0444275460053778,0.530118187887495,"spec_sens",0.0099009900990099,0.0266666666666667,1,0.732600732600733,1,0,0.267399267399267,0.8175,0.0333027402648488
"Acianthera_sonderiana_C_020",0.22212222,0.22212222,-1e-04,-1e-04,0.22212222,0.22212222,0.695833333333333,1.39166666666667,1.96248074914588,0,0.361666666666667,"bioclim",1,1,3,200,0.0433951047616875,0.538715372557715,"spec_sens",0.0147783251231527,0.0317460317460317,0.992857142857143,0.686106346483705,0.675850891410049,0.324149108589951,0.313893653516295,0.680833333333333,0.0333333333333333
"Acianthera_sonderiana_C_020",0.01687009,0.01687009,0.00130768,0.01469812,0.01095411,0.00137716,0.598333333333333,1.19666666666667,1.42452462504755,0,0.476666666666667,"glm",1,1,3,200,0.00584300903396938,0.93406091236459,"spec_sens",0.0147783251231527,NA,0.985221674876847,NA,0.5,0.5,NA,0.5,0
"Acianthera_sonderiana_C_020",0.73826005,0.73826005,0.23471546,0.10726072,0.57956506,0.23514269,0.618333333333333,1.23666666666667,1.45266884745382,0,0.511666666666667,"maxent",1,1,3,200,0.0483055773984537,0.49372376871797,"spec_sens",0.0147783251231527,0.0606060606060606,0.994117647058824,0.811359026369168,0.717114568599717,0.282885431400283,0.188640973630832,0.755833333333333,0.0863572433192688
"Acianthera_sonderiana_C_020",0.64163333,0.64163333,0.21546667,0.03313333,0.55356667,0.2158,0.616666666666667,1.23333333333333,1.45531930315777,0,0.441666666666667,"rf",1,1,3,200,0.038519604284201,0.585317962856461,"spec_sens",0.0147783251231527,0.0425531914893617,0.993589743589744,0.747663551401869,0.699248120300752,0.300751879699248,0.252336448598131,0.720833333333333,0.053708958248886
"Acianthera_sonderiana_C_020",0.01104222,0.0097197,0.0097353,0.01135961,0.00983048,0.00983048,0.928333333333333,1.85666666666667,1.98658663897947,0,0.8,"svmk",1,1,3,200,0.154733021905217,0.0275042951705678,"spec_sens",0.0147783251231527,0.0697674418604651,1,0.833333333333333,1,0,0.166666666666667,0.9,0.105726872246696
"Acianthera_sonderiana_C_020",0.44434444,0.22212222,-1e-04,-1e-04,0.22212222,0.22212222,0.6375,1.275,1.9548030115092,0,0.266666666666667,"bioclim",2,1,3,200,0.0673117901136605,0.33997945485372,"spec_sens",0.0147783251231527,0.024390243902439,0.991735537190083,0.625,0.642857142857143,0.357142857142857,0.375,0.633333333333333,0.0190896617550555
