"species","algoritmo","AUC","TSS","pROC","omission"
"Billbergia_zebrina_N_100","bioclim",0.677375,0.311666666666666,1.72497396394232,0.316343023976036
"Cattleya_coccinea_C_010","bioclim",0.4946875,0.08125,1.97765687017794,0.439814814814815
"Cattleya_coccinea_C_020","bioclim",0.524791666666666,0.278333333333333,1.91470016444907,0.38684084073168
"Cattleya_coccinea_C_050","bioclim",0.680390625,0.36125,1.88021397922921,0.201829380400809
"Cattleya_coccinea_C_100","bioclim",0.714083333333333,0.345833333333333,1.81461436567298,0.311015755622082
"Cattleya_coccinea_N_010","bioclim",0.5628125,0.2125,1.92600858338368,0.328508565639755
"Cattleya_coccinea_N_020","bioclim",0.728541666666667,0.540833333333333,1.93892681935452,0.218629702556198
"Cattleya_coccinea_N_050","bioclim",0.72578125,0.41625,1.91554270193545,0.319862238606183
"Cattleya_coccinea_N_100","bioclim",0.667166666666666,0.325833333333333,1.83966920139007,0.317410938285016
"Christensonella_subulata_C_010","bioclim",0.5846875,0.235,1.96342351636334,0.328761634418569
"Christensonella_subulata_C_020","bioclim",0.546875,0.186666666666667,1.94375202516724,0.348266788149526
"Christensonella_subulata_C_050","bioclim",0.670546875,0.395,1.8813082606637,0.346712357553065
"Christensonella_subulata_C_100","bioclim",0.7018359375,0.3875,1.82695408605217,0.348485940112373
"Christensonella_subulata_N_010","bioclim",0.49125,0.08,1.97174988633926,0.441176470588235
"Christensonella_subulata_N_020","bioclim",0.539583333333333,0.240833333333333,1.98145270119532,0.271605080251922
"Christensonella_subulata_N_050","bioclim",0.670234375,0.3875,1.8932395856666,0.30899430846052
"Christensonella_subulata_N_100","bioclim",0.6715625,0.32875,1.80484980606623,0.390065581100247
"Codonanthe_devosiana_C_010","bioclim",0.7259375,0.46125,1.98194633916104,0.184386618534117
"Codonanthe_devosiana_C_020","bioclim",0.786041666666667,0.571666666666667,1.98760373756292,0.124148993024819
"Codonanthe_devosiana_C_050","bioclim",0.733671875,0.4075,1.94700296596745,0.209005515402105
"Codonanthe_devosiana_C_100","bioclim",0.844241071428572,0.651964285714286,1.94463746427939,0.143784378010813
"Codonanthe_devosiana_N_010","bioclim",0.67125,0.3525,1.99099816362866,0.278301886792453
"Codonanthe_devosiana_N_020","bioclim",0.830625,0.682083333333333,1.97457297700595,0.149697303247111
