"sp","algo","M1","M2","good","bad","total","mod"
"Dichaea_cogniauxiana_N_050","rf",0.169,2.38028169014085,169,71,1000,"raw_mean"
"Dichaea_cogniauxiana_N_050","svmk",0.113,0.576530612244898,113,196,1000,"raw_mean"
"Dichaea_cogniauxiana_N_100","bioclim",0.167,0.695833333333333,167,240,1000,"raw_mean"
"Dichaea_cogniauxiana_N_100","glm",0.217,1.02358490566038,217,212,1000,"raw_mean"
"Dichaea_cogniauxiana_N_100","maxent",0.223,1.85833333333333,223,120,1000,"raw_mean"
"Dichaea_cogniauxiana_N_100","rf",0.196,3.37931034482759,196,58,1000,"raw_mean"
"Dichaea_cogniauxiana_N_100","svmk",0.113,0.649425287356322,113,174,1000,"raw_mean"
"Edmundoa_lindenii_C_010","bioclim",0.036,0.0373831775700935,36,963,1000,"raw_mean"
"Edmundoa_lindenii_C_010","glm",0.016,0.0730593607305936,16,219,1000,"raw_mean"
"Edmundoa_lindenii_C_010","maxent",0.096,1.1566265060241,96,83,1000,"raw_mean"
"Edmundoa_lindenii_C_010","rf",0.058,0.297435897435897,58,195,1000,"raw_mean"
"Edmundoa_lindenii_C_010","svmk",0.141,0.655813953488372,141,215,1000,"raw_mean"
"Edmundoa_lindenii_C_020","bioclim",0.044,0.0646108663729809,44,681,1000,"raw_mean"
"Edmundoa_lindenii_C_020","glm",0.178,0.798206278026906,178,223,1000,"raw_mean"
"Edmundoa_lindenii_C_020","maxent",0.151,1.30172413793103,151,116,1000,"raw_mean"
"Edmundoa_lindenii_C_020","rf",0.127,0.9921875,127,128,1000,"raw_mean"
"Edmundoa_lindenii_C_020","svmk",0.147,1.00684931506849,147,146,1000,"raw_mean"
"Edmundoa_lindenii_C_050","bioclim",0.458,1.832,458,250,1000,"raw_mean"
"Edmundoa_lindenii_C_050","glm",0.209,1.08854166666667,209,192,1000,"raw_mean"
"Edmundoa_lindenii_C_050","maxent",0.217,1.87068965517241,217,116,1000,"raw_mean"
"Edmundoa_lindenii_C_050","rf",0.159,1.78651685393258,159,89,1000,"raw_mean"
"Edmundoa_lindenii_C_050","svmk",0.163,0.970238095238095,163,168,1000,"raw_mean"
"Edmundoa_lindenii_C_100","bioclim",0.111,0.518691588785047,111,214,1000,"raw_mean"
"Edmundoa_lindenii_C_100","glm",0.191,0.974489795918367,191,196,1000,"raw_mean"
"Edmundoa_lindenii_C_100","maxent",0.218,1.68992248062015,218,129,1000,"raw_mean"
"Edmundoa_lindenii_C_100","rf",0.193,2.03157894736842,193,95,1000,"raw_mean"
"Edmundoa_lindenii_C_100","svmk",0.129,0.732954545454545,129,176,1000,"raw_mean"
"Edmundoa_lindenii_N_010","bioclim",0.395,0.653973509933775,395,604,1000,"raw_mean"
"Edmundoa_lindenii_N_010","glm",0.186,0.849315068493151,186,219,1000,"raw_mean"
