"treatment","genus","epithet","clump","size","treatment1","algorithm","AUC","TSS","pROC","omission","M1","M2","good","bad","total","mod","M3"
"Acianthera_sonderiana_N_020","Acianthera","sonderiana","N","020","Acianthera_sonderiana_N_020","maxent",0.86,0.77,1.60820272065333,0.184886655836758,0.169,2.0609756097561,169,82,1000,"raw_mean_cut",0.673306772908366
"Acianthera_sonderiana_N_020","Acianthera","sonderiana","N","020","Acianthera_sonderiana_N_020","rf",0.729166666666667,0.62875,1.61852187035674,0.26586698064186,0.175,3.43137254901961,175,51,1000,"raw_mean_cut",0.774336283185841
"Acianthera_sonderiana_N_020","Acianthera","sonderiana","N","020","Acianthera_sonderiana_N_020","svmk",0.74,0.586666666666667,1.53745080963731,0.256865338288304,0.104,0.581005586592179,104,179,1000,"raw_mean_cut",0.367491166077739
"Acianthera_sonderiana_N_050","Acianthera","sonderiana","N","050","Acianthera_sonderiana_N_050","bioclim",0.7065625,0.498333333333333,1.97313943109053,0.19735954707964,0.282,1.42424242424242,282,198,1000,"raw_mean_cut",0.5875
"Acianthera_sonderiana_N_050","Acianthera","sonderiana","N","050","Acianthera_sonderiana_N_050","glm",0.769791666666667,0.635833333333333,1.49456579914866,NA,0.134,0.822085889570552,134,163,1000,"raw_mean_cut",0.451178451178451
"Acianthera_sonderiana_N_050","Acianthera","sonderiana","N","050","Acianthera_sonderiana_N_050","maxent",0.859791666666667,0.733333333333333,1.71490368264177,0.181840279165296,0.175,1.65094339622642,175,106,1000,"raw_mean_cut",0.622775800711744
"Acianthera_sonderiana_N_050","Acianthera","sonderiana","N","050","Acianthera_sonderiana_N_050","rf",0.788541666666667,0.574166666666667,1.48181195075733,0.201797784685376,0.151,1.81927710843373,151,83,1000,"raw_mean_cut",0.645299145299145
"Acianthera_sonderiana_N_050","Acianthera","sonderiana","N","050","Acianthera_sonderiana_N_050","svmk",0.768541666666667,0.564166666666666,1.1728357354846,0.255973181570002,0.14,1.10236220472441,140,127,1000,"raw_mean_cut",0.524344569288389
"Acianthera_sonderiana_N_100","Acianthera","sonderiana","N","100","Acianthera_sonderiana_N_100","bioclim",0.742788461538461,0.400096153846154,1.91750111074878,0.277568721126398,0.259,1.79861111111111,259,144,1000,"raw_mean_cut",0.642679900744417
"Acianthera_sonderiana_N_100","Acianthera","sonderiana","N","100","Acianthera_sonderiana_N_100","glm",0.870096153846154,0.672307692307692,1.57340343231758,0.666666666666667,0.133,0.773255813953488,133,172,1000,"raw_mean_cut",0.436065573770492
"Acianthera_sonderiana_N_100","Acianthera","sonderiana","N","100","Acianthera_sonderiana_N_100","maxent",0.922211538461538,0.771826923076923,1.68716189051655,0.13996450794914,0.156,1.625,156,96,1000,"raw_mean_cut",0.619047619047619
"Acianthera_sonderiana_N_100","Acianthera","sonderiana","N","100","Acianthera_sonderiana_N_100","rf",0.888269230769231,0.690673076923077,1.46681641566077,0.136893957590636,0.176,1.5042735042735,176,117,1000,"raw_mean_cut",0.600682593856655
"Acianthera_sonderiana_N_100","Acianthera","sonderiana","N","100","Acianthera_sonderiana_N_100","svmk",0.818557692307692,0.56576923076923,1.25149633972369,0.179422660175404,0.128,0.621359223300971,128,206,1000,"raw_mean_cut",0.383233532934132
"Aechmea_distichantha_C_010","Aechmea","distichantha","C","010","Aechmea_distichantha_C_010","bioclim",0.723125,0.484166666666667,1.97913074787628,0.226867230169382,0.248,0.861111111111111,248,288,1000,"raw_mean_cut",0.462686567164179
"Aechmea_distichantha_C_010","Aechmea","distichantha","C","010","Aechmea_distichantha_C_010","glm",0.53,0.290416666666667,1.3404095897436,NA,0,0,0,249,1000,"raw_mean_cut",0
"Aechmea_distichantha_C_010","Aechmea","distichantha","C","010","Aechmea_distichantha_C_010","maxent",0.795,0.68625,1.46044945710201,0.230865328293473,0.136,1.07936507936508,136,126,1000,"raw_mean_cut",0.519083969465649
"Aechmea_distichantha_C_010","Aechmea","distichantha","C","010","Aechmea_distichantha_C_010","rf",0.724583333333333,0.585,1.6393031036129,0.291676486467219,0.119,0.888059701492537,119,134,1000,"raw_mean_cut",0.470355731225296
"Aechmea_distichantha_C_010","Aechmea","distichantha","C","010","Aechmea_distichantha_C_010","svmk",0.4075,0.181666666666667,1.19794076324495,0.39524834623321,0.143,1.1,143,130,1000,"raw_mean_cut",0.523809523809524
"Aechmea_distichantha_C_020","Aechmea","distichantha","C","020","Aechmea_distichantha_C_020","bioclim",0.699625,0.425,1.82818184731834,0.229593350969585,0.199,1.48507462686567,199,134,1000,"raw_mean_cut",0.597597597597598
"Aechmea_distichantha_C_020","Aechmea","distichantha","C","020","Aechmea_distichantha_C_020","glm",0.7795,0.58375,1.36671136960962,NA,0.114,0.518181818181818,114,220,1000,"raw_mean_cut",0.341317365269461
"Aechmea_distichantha_C_020","Aechmea","distichantha","C","020","Aechmea_distichantha_C_020","maxent",0.80375,0.6475,1.27597910659177,0.14841855530527,0.158,1.95061728395062,158,81,1000,"raw_mean_cut",0.661087866108787
"Aechmea_distichantha_C_020","Aechmea","distichantha","C","020","Aechmea_distichantha_C_020","rf",0.8435,0.66,1.44305125537866,0.122251999005845,0.169,1.625,169,104,1000,"raw_mean_cut",0.619047619047619
"Aechmea_distichantha_C_020","Aechmea","distichantha","C","020","Aechmea_distichantha_C_020","svmk",0.69475,0.44625,1.11177239492098,0.197502162328219,0.147,0.896341463414634,147,164,1000,"raw_mean_cut",0.472668810289389
"Aechmea_distichantha_C_050","Aechmea","distichantha","C","050","Aechmea_distichantha_C_050","bioclim",0.750288461538462,0.497403846153846,1.71930743430289,0.290268495785814,0.278,1.81699346405229,278,153,1000,"raw_mean_cut",0.645011600928074
"Aechmea_distichantha_C_050","Aechmea","distichantha","C","050","Aechmea_distichantha_C_050","glm",0.843942307692307,0.588557692307692,1.42073789312806,0.687010954616588,0.146,1.10606060606061,146,132,1000,"raw_mean_cut",0.525179856115108
"Aechmea_distichantha_C_050","Aechmea","distichantha","C","050","Aechmea_distichantha_C_050","maxent",0.904903846153846,0.743846153846154,1.50168643600644,0.150219835815321,0.179,2.10588235294118,179,85,1000,"raw_mean_cut",0.678030303030303
"Aechmea_distichantha_C_050","Aechmea","distichantha","C","050","Aechmea_distichantha_C_050","rf",0.908365384615385,0.729038461538462,1.47099517824919,0.193279209315356,0.141,1.28181818181818,141,110,1000,"raw_mean_cut",0.561752988047809
"Aechmea_distichantha_C_050","Aechmea","distichantha","C","050","Aechmea_distichantha_C_050","svmk",0.802884615384616,0.616826923076923,1.07681839127494,0.0746041743882488,0.116,0.828571428571429,116,140,1000,"raw_mean_cut",0.453125
"Aechmea_distichantha_C_100","Aechmea","distichantha","C","100","Aechmea_distichantha_C_100","bioclim",0.760048076923077,0.467596153846154,1.70610087089172,0.285409260553733,0.191,0.984536082474227,191,194,1000,"raw_mean_cut",0.496103896103896
"Aechmea_distichantha_C_100","Aechmea","distichantha","C","100","Aechmea_distichantha_C_100","glm",0.838125,0.583557692307692,1.44345770199366,0.204972707693067,0.134,1.01515151515152,134,132,1000,"raw_mean_cut",0.503759398496241
"Aechmea_distichantha_C_100","Aechmea","distichantha","C","100","Aechmea_distichantha_C_100","maxent",0.893701923076923,0.680673076923077,1.53199078987603,0.150198723921201,0.175,1.57657657657658,175,111,1000,"raw_mean_cut",0.611888111888112
"Aechmea_distichantha_C_100","Aechmea","distichantha","C","100","Aechmea_distichantha_C_100","rf",0.865745192307693,0.640096153846154,1.36010993881409,0.225653753156402,0.165,1.79347826086957,165,92,1000,"raw_mean_cut",0.642023346303502
"Aechmea_distichantha_C_100","Aechmea","distichantha","C","100","Aechmea_distichantha_C_100","svmk",0.832355769230769,0.643461538461539,1.04190530481852,0.153787386980552,0.171,0.85929648241206,171,199,1000,"raw_mean_cut",0.462162162162162
"Aechmea_distichantha_N_010","Aechmea","distichantha","N","010","Aechmea_distichantha_N_010","bioclim",0.535,0.20375,1.97733655518799,0.229085858917888,0.449,1.00447427293065,449,447,1000,"raw_mean_cut",0.501116071428571
"Aechmea_distichantha_N_010","Aechmea","distichantha","N","010","Aechmea_distichantha_N_010","glm",0.757916666666667,0.63,1.49505890327551,NA,0.154,0.885057471264368,154,174,1000,"raw_mean_cut",0.469512195121951
"Aechmea_distichantha_N_010","Aechmea","distichantha","N","010","Aechmea_distichantha_N_010","maxent",0.747083333333334,0.599583333333333,1.48053668329319,0.205952005785899,0.16,1.15942028985507,160,138,1000,"raw_mean_cut",0.536912751677852
"Aechmea_distichantha_N_010","Aechmea","distichantha","N","010","Aechmea_distichantha_N_010","rf",0.745208333333333,0.530833333333333,1.51708752696892,0.234471725579739,0.146,1.22689075630252,146,119,1000,"raw_mean_cut",0.550943396226415
"Aechmea_distichantha_N_010","Aechmea","distichantha","N","010","Aechmea_distichantha_N_010","svmk",0.41,0.155833333333333,1.05582282851559,0.43381497005389,0.101,0.545945945945946,101,185,1000,"raw_mean_cut",0.353146853146853
"Aechmea_distichantha_N_020","Aechmea","distichantha","N","020","Aechmea_distichantha_N_020","bioclim",0.682375,0.3825,1.91331106535022,0.300594628182495,0.212,0.706666666666667,212,300,1000,"raw_mean_cut",0.4140625
"Aechmea_distichantha_N_020","Aechmea","distichantha","N","020","Aechmea_distichantha_N_020","glm",0.85975,0.6875,1.50440155213326,1,0.129,0.614285714285714,129,210,1000,"raw_mean_cut",0.380530973451327
"Aechmea_distichantha_N_020","Aechmea","distichantha","N","020","Aechmea_distichantha_N_020","maxent",0.87625,0.83875,1.47358647720506,0.138719623042132,0.177,2.26923076923077,177,78,1000,"raw_mean_cut",0.694117647058824
"Aechmea_distichantha_N_020","Aechmea","distichantha","N","020","Aechmea_distichantha_N_020","rf",0.8715,0.72625,1.58724016152098,0.15930803332919,0.154,1.4,154,110,1000,"raw_mean_cut",0.583333333333333
"Aechmea_distichantha_N_020","Aechmea","distichantha","N","020","Aechmea_distichantha_N_020","svmk",0.674,0.4275,1.06448849329806,0.282774945248938,0.041,0.197115384615385,41,208,1000,"raw_mean_cut",0.164658634538153
"Aechmea_distichantha_N_050","Aechmea","distichantha","N","050","Aechmea_distichantha_N_050","bioclim",0.717692307692308,0.437596153846154,1.7090636381746,0.240509337365095,0.043,0.330769230769231,43,130,1000,"raw_mean_cut",0.248554913294798
"Aechmea_distichantha_N_050","Aechmea","distichantha","N","050","Aechmea_distichantha_N_050","glm",0.788942307692308,0.582115384615384,1.39082998842395,0.557522123893806,0.145,0.900621118012422,145,161,1000,"raw_mean_cut",0.473856209150327
"Aechmea_distichantha_N_050","Aechmea","distichantha","N","050","Aechmea_distichantha_N_050","maxent",0.868173076923077,0.691346153846154,1.33114754379669,0.187230549041982,0.171,2.25,171,76,1000,"raw_mean_cut",0.692307692307692
"Aechmea_distichantha_N_050","Aechmea","distichantha","N","050","Aechmea_distichantha_N_050","rf",0.869663461538462,0.710576923076923,1.43761442663548,0.185267429076058,0.18,2.25,180,80,1000,"raw_mean_cut",0.692307692307692
"Aechmea_distichantha_N_050","Aechmea","distichantha","N","050","Aechmea_distichantha_N_050","svmk",0.744326923076923,0.541346153846154,1.03795705658474,0.144100165849706,0.112,0.67065868263473,112,167,1000,"raw_mean_cut",0.401433691756272
"Aechmea_distichantha_N_100","Aechmea","distichantha","N","100","Aechmea_distichantha_N_100","bioclim",0.785985576923077,0.516923076923077,1.61942910189999,0.270532771653446,0.237,1.47204968944099,237,161,1000,"raw_mean_cut",0.595477386934673
"Aechmea_distichantha_N_100","Aechmea","distichantha","N","100","Aechmea_distichantha_N_100","glm",0.821538461538462,0.565865384615385,1.47360690351422,0.222515718231303,0.137,1.10483870967742,137,124,1000,"raw_mean_cut",0.524904214559387
"Aechmea_distichantha_N_100","Aechmea","distichantha","N","100","Aechmea_distichantha_N_100","maxent",0.88326923076923,0.684326923076923,1.41137371728026,0.202783098789407,0.165,1.68367346938776,165,98,1000,"raw_mean_cut",0.627376425855513
"Aechmea_distichantha_N_100","Aechmea","distichantha","N","100","Aechmea_distichantha_N_100","rf",0.871923076923077,0.66125,1.31011082610443,0.196103068512452,0.145,1.43564356435644,145,101,1000,"raw_mean_cut",0.589430894308943
"Aechmea_distichantha_N_100","Aechmea","distichantha","N","100","Aechmea_distichantha_N_100","svmk",0.769086538461539,0.460673076923077,1.04412229131479,0.257616976656252,0.177,0.834905660377358,177,212,1000,"raw_mean_cut",0.455012853470437
"Aechmea_lamarchei_C_010","Aechmea","lamarchei","C","010","Aechmea_lamarchei_C_010","bioclim",0.3775,0,NA,0.5,0.284,0.614718614718615,284,462,1000,"raw_mean_cut",0.380697050938338
"Aechmea_lamarchei_C_010","Aechmea","lamarchei","C","010","Aechmea_lamarchei_C_010","glm",0.29125,0.04125,1.06936915405331,NA,0,0,0,250,1000,"raw_mean_cut",0
"Aechmea_lamarchei_C_010","Aechmea","lamarchei","C","010","Aechmea_lamarchei_C_010","maxent",0.29125,0.04125,1.07357317724945,0.489232725442998,0,0,0,349,1000,"raw_mean_cut",0
"Aechmea_lamarchei_C_010","Aechmea","lamarchei","C","010","Aechmea_lamarchei_C_010","rf",0.596875,0.5825,1.40939320731009,0.278632478632479,0.127,1.25742574257426,127,101,1000,"raw_mean_cut",0.557017543859649
"Aechmea_lamarchei_C_010","Aechmea","lamarchei","C","010","Aechmea_lamarchei_C_010","svmk",0.27125,0.26875,1.02639878779486,0.422078486990082,0.212,1.61832061068702,212,131,1000,"raw_mean_cut",0.618075801749271
"Aechmea_lamarchei_C_020","Aechmea","lamarchei","C","020","Aechmea_lamarchei_C_020","bioclim",0.540416666666667,0.17,1.97219052449169,0.378821661159411,0.316,0.682505399568035,316,463,1000,"raw_mean_cut",0.405648267008986
"Aechmea_lamarchei_C_020","Aechmea","lamarchei","C","020","Aechmea_lamarchei_C_020","glm",0.692916666666667,0.549583333333333,1.34323930551819,NA,0.2,0.851063829787234,200,235,1000,"raw_mean_cut",0.459770114942529
"Aechmea_lamarchei_C_020","Aechmea","lamarchei","C","020","Aechmea_lamarchei_C_020","maxent",0.71,0.528333333333334,1.34844204962381,0.239006935056526,0.182,1.59649122807018,182,114,1000,"raw_mean_cut",0.614864864864865
"Aechmea_lamarchei_C_020","Aechmea","lamarchei","C","020","Aechmea_lamarchei_C_020","rf",0.651458333333333,0.47875,1.30973734861214,0.263423548160181,0.084,0.488372093023256,84,172,1000,"raw_mean_cut",0.328125
"Aechmea_lamarchei_C_020","Aechmea","lamarchei","C","020","Aechmea_lamarchei_C_020","svmk",0.590833333333333,0.36625,1.46864501658306,0.326270281886537,0.141,0.986013986013986,141,143,1000,"raw_mean_cut",0.496478873239437
"Aechmea_lamarchei_C_050","Aechmea","lamarchei","C","050","Aechmea_lamarchei_C_050","bioclim",0.726979166666667,0.5175,1.89643087631973,0.145631155854568,0.266,1.0597609561753,266,251,1000,"raw_mean_cut",0.514506769825919
"Aechmea_lamarchei_C_050","Aechmea","lamarchei","C","050","Aechmea_lamarchei_C_050","glm",0.770416666666667,0.54625,1.22525829245031,NA,0.217,2.67901234567901,217,81,1000,"raw_mean_cut",0.728187919463087
"Aechmea_lamarchei_C_050","Aechmea","lamarchei","C","050","Aechmea_lamarchei_C_050","maxent",0.823333333333333,0.629166666666667,1.27354465969187,0.146987386453989,0.25,1.74825174825175,250,143,1000,"raw_mean_cut",0.636132315521629
"Aechmea_lamarchei_C_050","Aechmea","lamarchei","C","050","Aechmea_lamarchei_C_050","rf",0.753541666666667,0.525416666666667,1.28770086182515,0.300623319568954,0.039,0.197969543147208,39,197,1000,"raw_mean_cut",0.165254237288136
"Aechmea_lamarchei_C_050","Aechmea","lamarchei","C","050","Aechmea_lamarchei_C_050","svmk",0.762291666666667,0.575416666666666,1.56958008528615,0.218970395114411,0.088,0.448979591836735,88,196,1000,"raw_mean_cut",0.309859154929577
"Aechmea_lamarchei_C_100","Aechmea","lamarchei","C","100","Aechmea_lamarchei_C_100","bioclim",0.723020833333333,0.4675,1.80913075027668,0.194997041266338,0.203,0.749077490774908,203,271,1000,"raw_mean_cut",0.428270042194093
"Aechmea_lamarchei_C_100","Aechmea","lamarchei","C","100","Aechmea_lamarchei_C_100","glm",0.813958333333333,0.58625,1.22312232784867,1,0.235,Inf,235,0,1000,"raw_mean_cut",1
"Aechmea_lamarchei_C_100","Aechmea","lamarchei","C","100","Aechmea_lamarchei_C_100","maxent",0.850833333333333,0.659583333333333,1.24339388989646,0.158829716302077,0.246,1.17703349282297,246,209,1000,"raw_mean_cut",0.540659340659341
"Aechmea_lamarchei_C_100","Aechmea","lamarchei","C","100","Aechmea_lamarchei_C_100","rf",0.8434375,0.630833333333333,1.34514011245425,0.189076248034433,0.158,1.3859649122807,158,114,1000,"raw_mean_cut",0.580882352941177
"Aechmea_lamarchei_C_100","Aechmea","lamarchei","C","100","Aechmea_lamarchei_C_100","svmk",0.807291666666667,0.5975,1.52724624026242,0.163773096604184,0.18,0.87378640776699,180,206,1000,"raw_mean_cut",0.466321243523316
"Aechmea_lamarchei_N_010","Aechmea","lamarchei","N","010","Aechmea_lamarchei_N_010","bioclim",0.774375,0.5925,1.91575557214,0.255116154345556,0.505,1.02020202020202,505,495,1000,"raw_mean_cut",0.505
"Aechmea_lamarchei_N_010","Aechmea","lamarchei","N","010","Aechmea_lamarchei_N_010","glm",0.745,0.61625,1.47169869134505,NA,0.25,1,250,250,1000,"raw_mean_cut",0.5
"Aechmea_lamarchei_N_010","Aechmea","lamarchei","N","010","Aechmea_lamarchei_N_010","maxent",0.8625,0.8625,1.52518208850485,0.102856757589767,0.25,0.538793103448276,250,464,1000,"raw_mean_cut",0.350140056022409
"Aechmea_lamarchei_N_010","Aechmea","lamarchei","N","010","Aechmea_lamarchei_N_010","rf",0.72625,0.71875,1.59953654033682,0.191518024377431,0.146,1.10606060606061,146,132,1000,"raw_mean_cut",0.525179856115108
"Aechmea_lamarchei_N_010","Aechmea","lamarchei","N","010","Aechmea_lamarchei_N_010","svmk",0.2175,0.21625,1.23109988542212,0.426789025717198,0.229,2.97402597402597,229,77,1000,"raw_mean_cut",0.748366013071895
"Aechmea_lamarchei_N_020","Aechmea","lamarchei","N","020","Aechmea_lamarchei_N_020","bioclim",0.580416666666667,0.262916666666667,1.95373757582542,0.306627162698681,0.353,0.921671018276762,353,383,1000,"raw_mean_cut",0.479619565217391
"Aechmea_lamarchei_N_020","Aechmea","lamarchei","N","020","Aechmea_lamarchei_N_020","glm",0.725,0.61375,1.47473520761339,NA,0.221,0.940425531914894,221,235,1000,"raw_mean_cut",0.484649122807018
"Aechmea_lamarchei_N_020","Aechmea","lamarchei","N","020","Aechmea_lamarchei_N_020","maxent",0.82375,0.72875,1.51975206982437,0.207321731122456,0.171,34.2,171,5,1000,"raw_mean_cut",0.971590909090909
"Aechmea_lamarchei_N_020","Aechmea","lamarchei","N","020","Aechmea_lamarchei_N_020","rf",0.451666666666666,0.317916666666667,1.24275942663268,0.379495779964295,0.063,0.4921875,63,128,1000,"raw_mean_cut",0.329842931937173
"Aechmea_lamarchei_N_020","Aechmea","lamarchei","N","020","Aechmea_lamarchei_N_020","svmk",0.266666666666667,0.0954166666666666,1.23834275523089,0.390374082390178,0.184,2.55555555555556,184,72,1000,"raw_mean_cut",0.71875
"Aechmea_lamarchei_N_050","Aechmea","lamarchei","N","050","Aechmea_lamarchei_N_050","bioclim",0.658645833333333,0.329166666666667,1.94228706669055,0.313520641003277,0.134,0.394117647058824,134,340,1000,"raw_mean_cut",0.282700421940928
"Aechmea_lamarchei_N_050","Aechmea","lamarchei","N","050","Aechmea_lamarchei_N_050","glm",0.725,0.4675,1.24167189019425,NA,0.207,1.25454545454545,207,165,1000,"raw_mean_cut",0.556451612903226
"Aechmea_lamarchei_N_050","Aechmea","lamarchei","N","050","Aechmea_lamarchei_N_050","maxent",0.762916666666667,0.516666666666666,1.36665214878228,0.296551630020598,0.164,2.24657534246575,164,73,1000,"raw_mean_cut",0.691983122362869
"Aechmea_lamarchei_N_050","Aechmea","lamarchei","N","050","Aechmea_lamarchei_N_050","rf",0.755833333333333,0.535416666666667,1.26223759039236,0.283606147094551,0.125,0.796178343949045,125,157,1000,"raw_mean_cut",0.443262411347518
"Aechmea_lamarchei_N_050","Aechmea","lamarchei","N","050","Aechmea_lamarchei_N_050","svmk",0.765833333333333,0.536666666666667,1.57100856857276,0.26313775165816,0.124,0.976377952755906,124,127,1000,"raw_mean_cut",0.49402390438247
"Aechmea_lamarchei_N_100","Aechmea","lamarchei","N","100","Aechmea_lamarchei_N_100","bioclim",0.778072916666667,0.487916666666666,1.76539594571898,0.250739390246149,0.213,2.50588235294118,213,85,1000,"raw_mean_cut",0.714765100671141
"Aechmea_lamarchei_N_100","Aechmea","lamarchei","N","100","Aechmea_lamarchei_N_100","glm",0.767395833333333,0.532083333333333,1.20580979433116,1,0.203,3.625,203,56,1000,"raw_mean_cut",0.783783783783784
"Aechmea_lamarchei_N_100","Aechmea","lamarchei","N","100","Aechmea_lamarchei_N_100","maxent",0.83125,0.59,1.41674518031358,0.244173807388374,0.248,2.01626016260163,248,123,1000,"raw_mean_cut",0.668463611859838
"Aechmea_lamarchei_N_100","Aechmea","lamarchei","N","100","Aechmea_lamarchei_N_100","rf",0.7775,0.509583333333333,1.33162790789941,0.310446250947123,0.112,0.761904761904762,112,147,1000,"raw_mean_cut",0.432432432432432
