"treatment","genus","epithet","clump","size","treatment1","algorithm","AUC","TSS","pROC","omission","M1","M2","good","bad","total","mod","M3"
"Aechmea_nudicaulis_N_010","Aechmea","nudicaulis","N","010","Aechmea_nudicaulis_N_010","maxent",0.7909375,0.58875,1.41380099378087,0.17057454337972,0.159,1.80681818181818,159,88,1000,"raw_mean",0.643724696356275
"Aechmea_nudicaulis_N_010","Aechmea","nudicaulis","N","010","Aechmea_nudicaulis_N_010","rf",0.7409375,0.57125,1.44820649648944,0.233755100818484,0.17,1.88888888888889,170,90,1000,"raw_mean",0.653846153846154
"Aechmea_nudicaulis_N_010","Aechmea","nudicaulis","N","010","Aechmea_nudicaulis_N_010","svmk",0.60125,0.36375,1.27139760595256,0.237811423380897,0.154,1.01986754966887,154,151,1000,"raw_mean",0.504918032786885
"Aechmea_nudicaulis_N_020","Aechmea","nudicaulis","N","020","Aechmea_nudicaulis_N_020","bioclim",0.769910714285714,0.524107142857143,1.87940231101864,0.301032896283852,0.193,1.48461538461538,193,130,1000,"raw_mean",0.597523219814242
"Aechmea_nudicaulis_N_020","Aechmea","nudicaulis","N","020","Aechmea_nudicaulis_N_020","glm",0.752678571428572,0.502857142857143,1.27745736398847,1,0.143,0.718592964824121,143,199,1000,"raw_mean",0.41812865497076
"Aechmea_nudicaulis_N_020","Aechmea","nudicaulis","N","020","Aechmea_nudicaulis_N_020","maxent",0.810892857142857,0.565357142857143,1.45667362642576,0.267679777397824,0.208,2.12244897959184,208,98,1000,"raw_mean",0.679738562091503
"Aechmea_nudicaulis_N_020","Aechmea","nudicaulis","N","020","Aechmea_nudicaulis_N_020","rf",0.769821428571428,0.569107142857143,1.29332895945666,0.261088316507511,0.157,1.42727272727273,157,110,1000,"raw_mean",0.588014981273408
"Aechmea_nudicaulis_N_020","Aechmea","nudicaulis","N","020","Aechmea_nudicaulis_N_020","svmk",0.594285714285715,0.299285714285714,1.04331545037258,0.226244601394864,0.129,0.573333333333333,129,225,1000,"raw_mean",0.364406779661017
"Aechmea_nudicaulis_N_050","Aechmea","nudicaulis","N","050","Aechmea_nudicaulis_N_050","bioclim",0.750588235294118,0.4525,1.74170389425113,0.285691481287797,0.188,0.858447488584475,188,219,1000,"raw_mean",0.461916461916462
"Aechmea_nudicaulis_N_050","Aechmea","nudicaulis","N","050","Aechmea_nudicaulis_N_050","glm",0.79860294117647,0.529852941176471,1.27295636848168,0.349757622145682,0.191,0.964646464646465,191,198,1000,"raw_mean",0.491002570694087
"Aechmea_nudicaulis_N_050","Aechmea","nudicaulis","N","050","Aechmea_nudicaulis_N_050","maxent",0.850294117647059,0.621176470588235,1.50868235828016,0.24863455704976,0.233,2.67816091954023,233,87,1000,"raw_mean",0.728125
"Aechmea_nudicaulis_N_050","Aechmea","nudicaulis","N","050","Aechmea_nudicaulis_N_050","rf",0.839117647058824,0.597647058823529,1.31031615370962,0.225490340561628,0.193,3.21666666666667,193,60,1000,"raw_mean",0.762845849802372
"Aechmea_nudicaulis_N_050","Aechmea","nudicaulis","N","050","Aechmea_nudicaulis_N_050","svmk",0.777720588235294,0.54360294117647,1.08862022445138,0.109960297742058,0.081,0.393203883495146,81,206,1000,"raw_mean",0.282229965156794
